"id";"name";"content_type_id";"codename"
1;"Can add log entry";1;"add_logentry"
2;"Can change log entry";1;"change_logentry"
3;"Can delete log entry";1;"delete_logentry"
4;"Can view log entry";1;"view_logentry"
5;"Can add permission";2;"add_permission"
6;"Can change permission";2;"change_permission"
7;"Can delete permission";2;"delete_permission"
8;"Can view permission";2;"view_permission"
9;"Can add group";3;"add_group"
10;"Can change group";3;"change_group"
11;"Can delete group";3;"delete_group"
12;"Can view group";3;"view_group"
13;"Can add user";4;"add_user"
14;"Can change user";4;"change_user"
15;"Can delete user";4;"delete_user"
16;"Can view user";4;"view_user"
17;"Can add content type";5;"add_contenttype"
18;"Can change content type";5;"change_contenttype"
19;"Can delete content type";5;"delete_contenttype"
20;"Can view content type";5;"view_contenttype"
21;"Can add session";6;"add_session"
22;"Can change session";6;"change_session"
23;"Can delete session";6;"delete_session"
24;"Can view session";6;"view_session"
25;"Can add author";7;"add_author"
26;"Can change author";7;"change_author"
27;"Can delete author";7;"delete_author"
28;"Can view author";7;"view_author"
29;"Can add book";8;"add_book"
30;"Can change book";8;"change_book"
31;"Can delete book";8;"delete_book"
32;"Can view book";8;"view_book"
33;"Can add genre";9;"add_genre"
34;"Can change genre";9;"change_genre"
35;"Can delete genre";9;"delete_genre"
36;"Can view genre";9;"view_genre"
37;"Can add book instance";10;"add_bookinstance"
38;"Can change book instance";10;"change_bookinstance"
39;"Can delete book instance";10;"delete_bookinstance"
40;"Can view book instance";10;"view_bookinstance"
41;"Can add user profile";11;"add_userprofile"
42;"Can change user profile";11;"change_userprofile"
43;"Can delete user profile";11;"delete_userprofile"
44;"Can view user profile";11;"view_userprofile"
